0.265    10000
0.281    10000
0.303    10000
0.318    10000
0.334    10000
0.351    10000
0.376    10000
0.390    10000
0.407    10000
0.422    10000
0.439    10000
0.455    10000
0.463    10000
0.479    10000
0.492    10000
0.505    10000
0.528    10000
0.542    10000
0.558    10000
0.572    10000
0.587    10000
0.601    10000
0.615    10000
0.630    10000
0.644    10000
0.656    10000
0.672    10000
0.687    10000
0.702    10000
0.717    10000
0.732    10000
0.748    10000
0.764    10000
0.777    10000
0.793    10000
0.807    10000
0.822    10000
0.839    10000
0.854    10000
0.868    10000
0.886    10000
0.901    10000
0.916    10000
0.931    10000
0.949    10000
0.964    10000
0.981    10000
